work_id,version_id,title,creator,description,trove_url,repository_url,image_url
206003111,227008956,Lloyd Clarke,"Ellis, John","Lloyd Clarke. John Ellis describes his meeting with Banjo Clarke and his brother, Ray: ""I met ""Banjo"" Clarke while visiting my sick mother in Warrnambool Base Hospital; he was recuperating after a bout of illness. I questioned him about Koorie life in Warrnambool and after a lengthy discussion in which he told me he had just finished appearing in a popular TV series, he invited me to visit the family's property at Framlingham. Banjo had great delight in introducing me to a very old woman, Mary Maude Clarke, whom he claimed was the great granddaughter of Truganini; she was blind and had skin that was almost white. Len Clarke was somewhere on the property but I was unable to photograph him. Since that time he has become an administrator in Aboriginal affairs."" NOTE: To see the remainder of this description, please contact the University of Melbourne Archives. Previous Control Number: UMA/I/198 Previous Control Number: JE045-42; 200191 Item: [1999.0081.00611] ""Lloyd Clarke""",http://trove.nla.gov.au/version/227008956,http://hdl.handle.net/11343/76624,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104433
206003144,227009007,"Shirley Hamilton (Jacobs) protest outside Parliament House, 1983 - Shirley Hamilton and George Crawford.","Ellis, John","Shirley Hamilton (Jacobs) protest outside Parliament House, 1983 - Shirley Hamilton and Gearge Crawford. John Ellis writes: ""Shirley Jacobs was a very popular folk singer and anti-Vietnam war activist. While she performed regularly for the prisoners at Pentridge she met and fell in love with Joey Hamilton, a long-term prisoner who blew the whistle on corrupt police and instigated the Beach Inquiry into the Victoria Police. Some 20-odd police were convicted of corruption but none ever served time. Shirley went on a hunger strike in an attempt to have Joey released from Pentridge."" NOTE: To see the remainder of this description, please contact the University of Melbourne Archives. Previous Control Number: UMA/I/606 Previous Control Number: JE232-06; 200617 Item: [1999.0081.00662] ""Shirley Hamilton (Jacobs) protest outside Parliament House, 1983 - Shirley Hamilton and George Crawford.""",http://trove.nla.gov.au/version/227009007,http://hdl.handle.net/11343/76675,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104958
206003193,227009084,"Pro-war supporters line up across Swanston Street waiting for the Persian Gulf war protest marchers to arrive, 25 January 1991.","Ellis, John","Pro-war supporters line up across Swanston Street waiting for the Persian Gulf war protest marchers to arrive, 25 January 1991. John Ellis writes ""Pro-war groups attempt to stop the march at Flinders Street. I was taking pics from above Princes Bridge Station when I found one of the pro-war supporters' microphones. There was so much confusion and congestion that I refused to give it back and was able to tell the marchers what I thought these pro-war people were about. They eventually pulled the plug on me!"" Previous Control Number: UMA/I/863 Previous Control Number: JE321-12; 200881 Item: [1999.0081.00739] ""Pro-war supporters line up across Swanston Street waiting for the Persian Gulf war protest marchers to arrive, 25 January 1991.""",http://trove.nla.gov.au/version/227009084,http://hdl.handle.net/11343/76752,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=105200
206003234,227009142,"Ultra right-wing supporter holding &quot;Peace is worth fighting for&quot; poster at the second Persian Gulf war protest march, 25 January 1991.","Ellis, John","Ultra right-wing supporter holding ""Peace is worth fighting for"" poster at the second Persian Gulf war protest march, 25 January 1991. John Ellis writes ""Pro-war groups attempt to stop the march at Flinders Street. I was taking pics from above Princes Bridge Station when I found one of the pro-war supporters' microphones. There was so much confusion and congestion that I refused to give it back and was able to tell the marchers what I thought these pro-war people were about. They eventually pulled the plug on me!"" Previous Control Number: UMA/I/862 Previous Control Number: JE321-11; 200880 Item: [1999.0081.00797] ""Ultra right-wing supporter holding ""Peace is worth fighting for"" poster at the second Persian Gulf war protest march, 25 January 1991.""",http://trove.nla.gov.au/version/227009142,http://hdl.handle.net/11343/76810,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=105199
206003318,227009264,"Val Macarow and Jack Mundy at the Honeymoon uranium mine rally, May 1982.","Ellis, John","Honeymoon uranium mine rally, May 1982. John Ellis describes the background to the rally: ""On October 27, 1981 the Federal Government approved the mining of uranium at a site 75 km north-west of Broken Hill. ""The process for mining uranium at Honeymoon involves pumping an acid solution into the ground, allowing it to dissolve the uranium and sucking it out through an extraction well. The full-scale operation would consume per year: 12,000 tonnes of sulphuric acid, etc."" (from The Honeymoon Handbook). The photo shows Val Macarow and Jack Mundy at the rally. NOTE: To see the remainder of this description, please contact the University of Melbourne Archives. Previous Control Number: UMA/I/593 Previous Control Number: JE225-06; 200604 Item: [1999.0081.00919] ""Val Macarow and Jack Mundy at the Honeymoon uranium mine rally, May 1982.""",http://trove.nla.gov.au/version/227009264,http://hdl.handle.net/11343/76932,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104946
206003277,227009209,Banjo Clarke,"Ellis, John","Banjo Clarke. John Ellis describes his meeting with Banjo Clarke and his brother, Ray: ""I met ""Banjo"" Clarke while visiting my sick mother in Warrnambool Base Hospital; he was recuperating after a bout of illness. I questioned him about Koorie life in Warrnambool and after a lengthy discussion in which he told me he had just finished appearing in a popular TV series, he invited me to visit the family's property at Framlingham. Banjo had great delight in introducing me to a very old woman, Mary Maude Clarke, whom he claimed was the great granddaughter of Truganini; she was blind and had skin that was almost white. Len Clarke was somewhere on the property but I was unable to photograph him. Since that time he has become an administrator in Aboriginal affairs."" NOTE: To see the remainder of this description, please contact the University of Melbourne Archives. Previous Control Number: UMA/I/194 Previous Control Number: JE045-05; 200185 Item: [1999.0081.00864] ""Banjo Clarke""",http://trove.nla.gov.au/version/227009209,http://hdl.handle.net/11343/76877,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104432
206002824,227008582,"Congress for International Co-operation and Disarmament reception for World Peace Council representatives - Romesh Chandra, Secretary-General WPC.","Ellis, John","Congress for International Co-operation and Disarmament reception for World Peace Council representatives - Romesh Chandra, Secretary-General WPC. Delegation of six WPC Councillors visited Australia in October 1974. They came as guests of the Australian Committee of World Peace Councillors, co-sponsored by Pax Christi, Trade Union Peace and Solidarity Committee and the Australian Union of Students. A public meeting was held in the Assembly Hall and a reception at the John Curtin Hotel. Dr. Joe Camilleri (lecturer in politics, LaTrobe University, now professor, 1994), Terry Lane (ABC) and Dave Davies (""Tribune"" reporter) conducted the meeting. Previous Control Number: UMA/I/64 Previous Control Number: JE035-14; 200053 Item: [1999.0081.00237] ""Congress for International Co-operation and Disarmament reception for World Peace Council representatives - Romesh Chandra, Secretary-General WPC.""",http://trove.nla.gov.au/version/227008582,http://hdl.handle.net/11343/76250,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104418
206002918,227008705,Deputation to U.S. Consulate demanding removal of U.S. military bases in Australia.,"Ellis, John","This was a deputation of peace activists, trade unionists and a Senator to the U.S. Consulate in Albert Road; demanding the removal of U.S. military bases from Australia. Prior to this location, the U.S. Consulate was on the ground floor in Commercial Road and was an easy target for harassment. Traditionally, there was a demonstration at the consulate every July 4 and during the Vietnam war it was the scene of many bloody encounters with the police. The new location was on the ninth floor and surrounded by surveillance cameras, etc. Front, then L-R: Senator Cyril Primmer, Jean McLean (Save Our Sons), George Crawford (Plummer's Union), Ted Bull, John Lloyd. Previous Control Number: UMA/I/52 Previous Control Number: JE025-27; 200042 Item: [1999.0081.00360] ""Deputation to U.S. Consulate demanding removal of U.S. military bases in Australia.""",http://trove.nla.gov.au/version/227008705,http://hdl.handle.net/11343/76373,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104404
206002657,227008374,Reverend Sato (Japanese Buddhist monk) from Japan at a Congress for International Co-operation and Disarmament meeting.,"Ellis, John","Rev. Sato (a Japanese Buddhist monk) and a professor, both from one of the Japanese peace movements, came to Australia on a speaking tour. During the war Sato was a major in the Japanese Imperial Army; his family history had a military background. When he saw the devastation at Hiroshima and Nagasaki he renounced his army career and became a Buddhist monk. He also became politically active. When the Japanese Government decided to extend a civilian runway at Nareda (?) Airport to take military aircraft, he became involved in the protest. He built and lived in a hut at the end of the runway, preventing the use of the runway for some time. Previous Control Number: UMA/I/82 Previous Control Number: JE061-27; 200070 Item: [1999.0081.00029] ""Reverend Sato (Japanese Buddhist monk) from Japan at a Congress for International Co-operation and Disarmament meeting.""",http://trove.nla.gov.au/version/227008374,http://hdl.handle.net/11343/76042,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104458
206003077,227008913,Protesters at the Melbourne City Square being addressed by Jim Cairns at the Hiroshima Day march from Frankston to Melbourne - 1975.,"Ellis, John","Hiroshima Day march from Frankston to Melbourne, 1975 - Sam Goldbloom (left) and Jim Cairns (right) at the City Square. The march started Saturday morning and stopped overnight in Moorabbin where a concert was held. It resumed Sunday morning and stopped for lunch at a church near St. Kilda Junction; the march continued along St. Kilda Road to a mass lie-in in the City Square. This was one of the first big marches after the Vietnam war and showed the growing strength of the anti-uranium movement. Previous Control Number: UMA/I/142 Previous Control Number: JE075-37; 200130 Item: [1999.0081.00568] ""Protesters at the Melbourne City Square being addressed by Jim Cairns at the Hiroshima Day march from Frankston to Melbourne - 1975.""",http://trove.nla.gov.au/version/227008913,http://hdl.handle.net/11343/76581,http://gallery.its.unimelb.edu.au/imu/imu.php?request=multimedia&irn=104514
